SAP SYSTEM,AS INSTANCE,DATE,TIME,CL.,EVENT,USER,GROUP,TERMINAL NAME,PEER,SOURCE TA,ABAP SOURCE,AUDIT LOG MSG. TEXT,NOTE,FIRST VARIABLE VALUE FOR EVENT,VARIABLE 2,VARIABLE DATA FOR MESSAGE,SYSAID#,DATETIME
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:03:31,200,AUK,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_DEL_TMP_APPL (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_DEL_TMP_APPL,114655,2025-03-17 10:03:31
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:03:31,200,AU5,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,114655,2025-03-17 10:03:31
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:03:31,200,AUK,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_DEL_TMP_APPL (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_DEL_TMP_APPL,114655,2025-03-17 10:03:31
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:03:31,200,AU5,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,114655,2025-03-17 10:03:31
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:03:31,200,AUK,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_DEL_TMP_APPL (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_DEL_TMP_APPL,114655,2025-03-17 10:03:31
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:04:09,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 10:04:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:04:09,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 10:04:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:06:14,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 10:06:14
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:06:14,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,114655,2025-03-17 10:06:14
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:08,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM001",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM001,114655,2025-03-17 10:07:08
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:08,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM002",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM002,114655,2025-03-17 10:07:08
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:08,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM003",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM003,114655,2025-03-17 10:07:08
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:08,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM004",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM004,114655,2025-03-17 10:07:08
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:08,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM005",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM005,114655,2025-03-17 10:07:08
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:08,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM007",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM007,114655,2025-03-17 10:07:08
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:08,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM008",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM008,114655,2025-03-17 10:07:08
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:08,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM009",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM009,114655,2025-03-17 10:07:08
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM00A",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM00A,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCI",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCI,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCO",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCO,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCU",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCU,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCCDEF",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCCDEF,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCCIMP",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCCIMP,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCCMAC",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCCMAC,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCT",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCT,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM006",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCM006,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-17,10:07:09,200,BU4,FF_OTC,,172.30.254.10,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCP",,-,D!,/FDT/BTQCXR7KDHBLLIDY4PRS6Z9MNCP,114655,2025-03-17 10:07:09
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:35,200,AU1,FF_OTC,,172.30.254.3,172.30.254.3,S000,SAPMHTTP,"Logon successful (type=H, method=P)",,H,0,P,110272,2025-03-20 09:08:35
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:35,200,CUI,FF_OTC,,172.30.254.3,172.30.254.3,S000,SAPMHTTP,Application R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN started,,R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN,,,110272,2025-03-20 09:08:35
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:36,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,110272,2025-03-20 09:08:36
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:36,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,110272,2025-03-20 09:08:36
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:36,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,110272,2025-03-20 09:08:36
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:36,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,110272,2025-03-20 09:08:36
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:36,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,110272,2025-03-20 09:08:36
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:49,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,110272,2025-03-20 09:08:49
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:49,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,110272,2025-03-20 09:08:49
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:49,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,110272,2025-03-20 09:08:49
S4P,vhcnss4pai01_S4P_00,2025-03-20,09:08:49,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,110272,2025-03-20 09:08:49
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:36,200,AU1,FF_OTC,,172.30.254.17,172.30.254.17,S000,SAPMHTTP,"Logon successful (type=H, method=P)",,H,0,P,120091,2025-03-25 15:22:36
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:36,200,CUI,FF_OTC,,172.30.254.17,172.30.254.17,S000,SAPMHTTP,Application R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN started,,R3TR WDYA APOC_WD_BRF_DEC_TAB_MAINTAIN,,,120091,2025-03-25 15:22:36
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:37,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,120091,2025-03-25 15:22:37
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:37,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,120091,2025-03-25 15:22:37
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:37,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,120091,2025-03-25 15:22:37
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:37,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,120091,2025-03-25 15:22:37
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:37,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,120091,2025-03-25 15:22:37
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:48,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,120091,2025-03-25 15:22:48
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:48,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,120091,2025-03-25 15:22:48
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:48,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,120091,2025-03-25 15:22:48
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:22:48,200,AU1,FF_OTC,,,,S000,SAPMSSYC,"Logon successful (type=E, method=A)",,E,0,A,120091,2025-03-25 15:22:48
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:24:54,200,AU5,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,120091,2025-03-25 15:24:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:24:54,200,AUK,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_CLEANUP_START (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_CLEANUP_START,120091,2025-03-25 15:24:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:24:54,200,AU5,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,120091,2025-03-25 15:24:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:24:54,200,AUK,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_CLEANUP_START_FOR_CLIENT (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_CLEANUP_START_FOR_CLIENT,120091,2025-03-25 15:24:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:25:54,200,AU5,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,120091,2025-03-25 15:25:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:25:54,200,AUK,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_DEL_TMP_APPL (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_DEL_TMP_APPL,120091,2025-03-25 15:25:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:25:54,200,AU5,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,120091,2025-03-25 15:25:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:25:54,200,AUK,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_DEL_TMP_APPL (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_DEL_TMP_APPL,120091,2025-03-25 15:25:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:25:54,200,AU5,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"RFC/CPIC logon successful (type=F, method=R)",,F,0,R,120091,2025-03-25 15:25:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:25:54,200,AUK,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,Successful RFC call FDT_DEL_TMP_APPL (function group = FDT_CLEAN_UP),,FDT_CLEAN_UP,,FDT_DEL_TMP_APPL,120091,2025-03-25 15:25:54
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:31,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM001",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM001,120091,2025-03-25 15:29:31
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM002",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM002,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM003",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM003,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM004",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM004,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM005",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM005,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM007",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM007,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM008",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM008,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM009",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM009,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM00A",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM00A,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CI",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CI,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CO",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CO,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CU",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CU,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CCDEF",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CCDEF,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:32,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CCIMP",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CCIMP,120091,2025-03-25 15:29:32
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:33,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CCMAC",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CCMAC,120091,2025-03-25 15:29:33
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:33,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CT",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CT,120091,2025-03-25 15:29:33
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:33,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM006",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CM006,120091,2025-03-25 15:29:33
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:33,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CP",,-,D!,/FDT/7ZXHKX2FZ6APTT3JVH4Y70KP2CP,120091,2025-03-25 15:29:33
S4P,vhcnss4pai01_S4P_00,2025-03-25,15:29:33,200,BU4,FF_OTC,,172.30.254.17,10.155.152.40,,SAPMSSY1,"Dynamic ABAP code: Event -, event type D!, check total /FDT/7ZXHKX2FZ6BHLGXAWH9ZQIZCJCM001",,-,D!,/FDT/7ZXHKX2FZ6BHLGXAWH9ZQIZCJCM001,120091,2025-03-25 15:29:33
